"V1","V2","V3","V4"
1.05564861002923e-07,7.48705339510131e-06,0,0
9.746983077652e-08,7.70126815722297e-06,0,0
8.96976792486059e-08,7.91858366277463e-06,0,0
8.22484064191808e-08,8.13899991175629e-06,0,0
7.51220122882448e-08,8.36251690416795e-06,0,0
6.83184968557977e-08,8.5891346400096e-06,0,0
6.18378601218397e-08,8.81885311928126e-06,0,0
5.56801020863706e-08,9.05167234198292e-06,0,0
4.98452227493906e-08,9.28759230811457e-06,0,0
4.43332221108996e-08,9.52661301767623e-06,0,0
3.91441001708976e-08,9.76873447066788e-06,0,0
3.42778569293846e-08,1.00139566670895e-05,0,0
2.97344923863607e-08,1.02622796069412e-05,0,0
2.55140065418257e-08,1.05137032902228e-05,0,0
2.16163993957798e-08,1.07682277169345e-05,0,0
1.80416709482228e-08,1.10258528870762e-05,0,0
1.47898211991549e-08,1.12865788006478e-05,0,0
1.1860850148576e-08,1.15504054576495e-05,0,0
9.25475779648612e-09,1.18173328580811e-05,0,0
6.97154414288524e-09,1.20873610019428e-05,0,0
5.01120918777337e-09,1.23604898892344e-05,0,0
3.37375293115052e-09,1.26367195199561e-05,0,0
2.05917537301668e-09,1.29160498941077e-05,0,0
1.06747651337185e-09,1.31984810116894e-05,0,0
3.98656352216032e-10,1.3484012872701e-05,0,0
5.27148895492288e-11,1.37726454771427e-05,0,0
0,1.40635119185591e-05,0,0
0,1.43495806223686e-05,0,0
0,1.46293104215397e-05,0,0
0,1.49027013160723e-05,0,0
0,1.51697533059665e-05,0,0
0,1.54304663912223e-05,0,0
0,1.56848405718397e-05,0,0
0,1.59328758478186e-05,0,0
0,1.6174572219159e-05,0,0
0,1.64099296858611e-05,0,0
0,1.66389482479247e-05,0,0
0,1.68616279053498e-05,0,0
0,1.70779686581366e-05,0,0
0,1.72879705062848e-05,0,0
0,1.74916334497947e-05,0,0
0,1.76889574886661e-05,0,0
0,1.78799426228991e-05,0,0
0,1.80645888524936e-05,0,0
0,1.82428961774497e-05,0,0
0,1.84148645977674e-05,0,0
0,1.85804941134466e-05,0,0
0,1.87397847244874e-05,0,0
0,1.88927364308897e-05,0,0
0,1.90393492326536e-05,0,0
0,1.91796231297791e-05,0,0
0,1.93135581222662e-05,0,0
0,1.94411542101148e-05,0,0
0,1.95624113933249e-05,0,0
0,1.96773296718967e-05,0,0
0,1.978590904583e-05,0,0
0,1.98881495151248e-05,0,0
0,1.99840510797812e-05,0,0
0,2.00736137397992e-05,0,0
0,2.01568374951787e-05,0,0
0,2.02337223459199e-05,0,0
0,2.03042682920225e-05,0,0
0,2.03684753334868e-05,0,0
0,2.04263434703126e-05,0,0
0,2.04778727024999e-05,0,0
0,2.05230630300488e-05,0,0
0,2.05619144529593e-05,0,0
0,2.05944269712314e-05,0,0
0,2.0620600584865e-05,0,0
0,2.06404352938601e-05,0,0
0,2.06539310982169e-05,0,0
0,2.06610879979352e-05,0,0
0,2.0661905993015e-05,0,0
0,2.06563850834565e-05,0,0
0,2.06445252692595e-05,0,0
0,2.0626326550424e-05,0,0
0,2.06017889269501e-05,0,0
0,2.05709123988378e-05,0,0
0,2.0533696966087e-05,0,0
0,2.04901426286978e-05,0,0
0,2.04402493866702e-05,0,0
0,2.03840172400041e-05,0,0
